""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T02g03074"	997.508692980365	-3.68012552620261	0.202870542115164	-18.1402656483931	1.53288460611388e-73	1.95427458433459e-69	"Yes"	"No"	"Yes"
"CaT2T04g02842"	941.823834547993	-4.89558576948998	0.276755183064477	-17.6892288530308	5.07653963299941e-70	3.23604018905547e-66	"Yes"	"No"	"Yes"
"CaT2T06g03191"	1025.92253706425	-3.42420375850743	0.209423327301809	-16.3506320075445	4.30491757536066e-60	1.82944647227577e-56	"Yes"	"No"	"Yes"
"CaT2T03g00081"	710.613858534567	-3.98946123686676	0.249088817810245	-16.0162197241062	9.84569115731373e-58	3.13806791411482e-54	"Yes"	"No"	"Yes"
"CaT2T09g00227"	585.700541677073	-4.93346799370189	0.313409216049147	-15.7412984081753	7.88098239679454e-56	2.00949289153467e-52	"Yes"	"No"	"Yes"
"CaT2T08g02456"	484.22070504907	-4.61708568149466	0.295448945629722	-15.6273554188991	4.74074106443492e-55	1.00732846384135e-51	"Yes"	"No"	"Yes"
"CaT2T07g01510"	588.79644206632	-3.51993943744617	0.226570522588424	-15.535734292498	1.98782229408128e-54	3.62039234674888e-51	"Yes"	"No"	"Yes"
"CaT2T03g00600"	1412.98917530487	-3.43592416726564	0.226586703287292	-15.1638384663252	6.13750800506098e-52	9.7808861945653e-49	"Yes"	"No"	"Yes"
"CaT2T10g00584"	499.081724638177	-3.79957452805351	0.253845555094596	-14.9680561735169	1.18741355230636e-50	1.68203726426153e-47	"Yes"	"No"	"Yes"
"CaT2T01g00683"	299.142787947124	5.13987289530426	0.344639315841399	14.9137740793032	2.68157121028794e-50	3.41873513599609e-47	"Yes"	"Yes"	"No"
"CaT2T06g01948"	768.255417447718	-2.93459213365963	0.199058664805005	-14.7423481240282	3.4459186550427e-49	3.99381972119449e-46	"Yes"	"No"	"Yes"
"CaT2T11g02009"	404.499074805814	3.34992172154208	0.228307238178197	14.6728669150972	9.61932751313518e-49	1.021973387208e-45	"Yes"	"Yes"	"No"
"CaT2T11g01841"	1336.3341218399	-2.98678166534653	0.203784986417622	-14.6565344084066	1.22360839040532e-48	1.19998333609826e-45	"Yes"	"No"	"Yes"
"CaT2T05g00769"	1085.50586623254	4.3086299813008	0.308952491833235	13.9459305077445	3.33075473312152e-44	3.03312800661187e-41	"Yes"	"Yes"	"No"
"CaT2T04g00395"	498.919672368628	-3.63933446637333	0.261311522711437	-13.9271870930552	4.33078591687206e-44	3.68087931028012e-41	"Yes"	"No"	"Yes"
"CaT2T03g01297"	268.064499115811	3.65448633886202	0.270885144795099	13.4909071578153	1.76910312444412e-41	1.40964348334613e-38	"Yes"	"Yes"	"No"
"CaT2T08g02671"	184.617222340609	3.16781546621559	0.23750857187365	13.3376889988661	1.39724191038312e-40	1.04784924208673e-37	"Yes"	"Yes"	"No"
"CaT2T11g00411"	506.520213603056	-3.3019266909933	0.24835111014067	-13.2953973474209	2.4616204648587e-40	1.74351107258242e-37	"Yes"	"No"	"Yes"
"CaT2T08g02405"	468.867662159646	-2.94755278262894	0.223973402911031	-13.1602803918633	1.48533628900994e-39	9.96660649925667e-37	"Yes"	"No"	"Yes"
"CaT2T02g00485"	503.599414473963	-2.70172375651523	0.209982104556632	-12.8664476538122	6.95269657595077e-38	4.43199643233982e-35	"Yes"	"No"	"Yes"
"CaT2T06g03072"	73.9228333411616	5.49891191986398	0.428008831572793	12.8476599411682	8.86515409873058e-38	5.38199283831982e-35	"Yes"	"Yes"	"No"
"CaT2T02g03979"	303.316926380148	-4.02844514549571	0.314747175309383	-12.7989874461492	1.66102884010149e-37	9.62566212838816e-35	"Yes"	"No"	"Yes"
"CaT2T07g00353"	298.97820583085	-3.77156999389228	0.295693465420847	-12.7549994671826	2.92376779185579e-37	1.62065719905954e-34	"Yes"	"No"	"Yes"
"CaT2T01g01990"	819.423152472513	-2.54473421472411	0.200514603757083	-12.6910168488624	6.63191169602442e-37	3.52292675885897e-34	"Yes"	"No"	"Yes"
"CaT2T12g02721"	592.69100083328	-2.65086949834036	0.210586556930319	-12.5880281105384	2.45735537913887e-36	1.25315294914566e-33	"Yes"	"No"	"Yes"
"CaT2T02g03489"	1324.75439084456	-2.55677589179901	0.204044716696995	-12.5304684835129	5.08613431035337e-36	2.49396639702674e-33	"Yes"	"No"	"Yes"
"CaT2T07g00559"	489.687709481564	-2.87038815297648	0.232654445234374	-12.3375598952553	5.68528625349491e-35	2.68450794243728e-32	"Yes"	"No"	"Yes"
"CaT2T05g00343"	1074.0669225283	-2.14368210822425	0.175408671452164	-12.2210725985053	2.3989842547509e-34	1.09230893799354e-31	"Yes"	"No"	"Yes"
"CaT2T08g02820"	634.562257473022	-2.34175516879097	0.191696479050669	-12.2159529501426	2.55490101945756e-34	1.12318734817463e-31	"Yes"	"No"	"Yes"
"CaT2T12g03817"	147.721545535978	3.19117465772551	0.26138142813782	12.2088806402989	2.78697023645036e-34	1.18436945148352e-31	"Yes"	"Yes"	"No"
"CaT2T04g00108"	573.173644027248	-2.31748023309294	0.191443560292119	-12.1052921788372	9.90161855657351e-34	4.07212048315341e-31	"Yes"	"No"	"Yes"
"CaT2T10g03280"	426.039081449677	-2.76290650832606	0.23177728142869	-11.9205234063292	9.25254239918191e-33	3.68627072022407e-30	"Yes"	"No"	"Yes"
"CaT2T02g03983"	225.933868136681	-4.40854614755846	0.373888847990594	-11.7910608226254	4.34039131003199e-32	1.67683784277569e-29	"Yes"	"No"	"Yes"
"CaT2T12g02669"	559.328884379681	-3.37632635705971	0.287633060676153	-11.7383111285011	8.10895710440074e-32	3.04062041541191e-29	"Yes"	"No"	"Yes"
"CaT2T10g00375"	346.933875290635	-2.68840621294498	0.230348054073627	-11.6710610982009	1.79174369582676e-31	6.52655439374153e-29	"Yes"	"No"	"Yes"
"CaT2T05g03267"	329.246412826754	-4.12064983991051	0.354995285192554	-11.6076185002722	3.76968822363321e-31	1.33499319897499e-28	"Yes"	"No"	"Yes"
"CaT2T04g00655"	394.501131379618	-3.12078505519977	0.269474343995467	-11.5810099355962	5.14364713182783e-31	1.77233398063981e-28	"Yes"	"No"	"Yes"
"CaT2T01g00032"	436.083076971209	-3.96119336430962	0.342428613187221	-11.5679391609248	5.99042732431559e-31	2.00978836730788e-28	"Yes"	"No"	"Yes"
"CaT2T03g00092"	403.928382152136	-2.72887575406112	0.236429265255976	-11.5420388043191	8.09826781330091e-31	2.6473029833788e-28	"Yes"	"No"	"Yes"
"CaT2T07g03061"	209.770044414046	-4.35899292254399	0.379546664820954	-11.484735150025	1.57417130145212e-30	5.01727748055326e-28	"Yes"	"No"	"Yes"
"CaT2T04g01356"	2158.83084338514	-2.45836692451895	0.214255022934833	-11.4740223629048	1.78180105712027e-30	5.54053211639666e-28	"Yes"	"No"	"Yes"
"CaT2T02g03182"	1193.8819457649	-2.6306932210948	0.230715627076617	-11.4023191858659	4.07126714042255e-30	1.23582344698207e-27	"Yes"	"No"	"Yes"
"CaT2T03g02467"	431.713015692943	-2.48244478023711	0.218088405850282	-11.3827453163251	5.09695269225044e-30	1.51118720636048e-27	"Yes"	"No"	"Yes"
"CaT2T01g03447"	547.424475749854	-2.28696571273322	0.201284762839957	-11.3618422004035	6.47643312047651e-30	1.87654649665807e-27	"Yes"	"No"	"Yes"
"CaT2T03g00077"	626.361503645973	-3.08358697963776	0.272341265134873	-11.3225110344944	1.01521622374209e-29	2.87622036366398e-27	"Yes"	"No"	"Yes"
"CaT2T09g00695"	307.50596983952	-2.91428951640317	0.258618797779266	-11.2686685632595	1.87381943678105e-29	5.19333130424382e-27	"Yes"	"No"	"Yes"
"CaT2T03g04492"	731.315077409158	-2.15017617044937	0.191939491604024	-11.2023646227282	3.96993274524433e-29	1.07686537381106e-26	"Yes"	"No"	"Yes"
"CaT2T06g01994"	140.206693987215	2.96020985808322	0.264387681250184	11.1964742233283	4.24285373003395e-29	1.12691962925423e-26	"Yes"	"Yes"	"No"
"CaT2T03g05158"	1613.57458875836	-1.83155952827461	0.164478049184484	-11.1355864041181	8.41890804733351e-29	2.19046242235622e-26	"Yes"	"No"	"Yes"
"CaT2T01g00912"	137.051626822598	2.80337876923732	0.252053166356129	11.122172396265	9.7859689631724e-29	2.4952263662297e-26	"Yes"	"Yes"	"No"
"CaT2T06g03267"	440.079051212371	-2.93644691511467	0.264482931096934	-11.1025951766938	1.21853389572538e-28	3.0460958110986e-26	"Yes"	"No"	"Yes"
"CaT2T09g03181"	239.92116691625	-2.70527226939453	0.246670717037047	-10.9671399260101	5.4984195805003e-28	1.34806444676535e-25	"Yes"	"No"	"Yes"
"CaT2T04g01066"	362.660881539823	-2.60901830628526	0.238439184463041	-10.9420702480622	7.25246193070354e-28	1.69082119210791e-25	"Yes"	"No"	"Yes"
"CaT2T05g03422"	361.578157954577	2.52314037307933	0.230563660801035	10.9433566604266	7.15025823905282e-28	1.69082119210791e-25	"Yes"	"Yes"	"No"
"CaT2T04g01444"	297.557319113398	-2.87597091934923	0.262848615005717	-10.9415486906281	7.29431057855008e-28	1.69082119210791e-25	"Yes"	"No"	"Yes"
"CaT2T10g03297"	204.189984227147	-3.4962807682591	0.319734049793466	-10.9349653892588	7.84359056564569e-28	1.78567743073959e-25	"Yes"	"No"	"Yes"
"CaT2T08g03169"	350.434065259846	-2.4542341639127	0.224494594287488	-10.9322639669881	8.08068078308395e-28	1.80737893514978e-25	"Yes"	"No"	"Yes"
"CaT2T02g02702"	763.487051515518	-2.42103331994172	0.222264978050958	-10.8925541989196	1.25082148677775e-27	2.74943502326372e-25	"Yes"	"No"	"Yes"
"CaT2T09g00316"	272.729652915689	-3.00813663082225	0.276718020048317	-10.8707652298792	1.58862768773249e-27	3.4327821001528e-25	"Yes"	"No"	"Yes"
"CaT2T05g02920"	96.0181242723185	3.15213745589782	0.290276104925069	10.8591007059003	1.80518116548535e-27	3.83570911312879e-25	"Yes"	"Yes"	"No"
"CaT2T08g03138"	4391.15031721246	-1.9180505169174	0.177345253807689	-10.8153473280842	2.91187570171911e-27	6.08582021659293e-25	"Yes"	"No"	"Yes"
"CaT2T03g04240"	1583.2432270258	1.63440668593574	0.151599858907299	10.7810567748295	4.22997921276616e-27	8.68182589683092e-25	"Yes"	"Yes"	"No"
"CaT2T06g01605"	452.467844506026	-2.32705030997501	0.215872243491549	-10.7797569170402	4.29017986901206e-27	8.68182589683092e-25	"Yes"	"No"	"Yes"
"CaT2T11g02034"	344.474810783298	2.30130563255196	0.213640415617703	10.7718646113758	4.67437263327477e-27	9.31149635962814e-25	"Yes"	"Yes"	"No"
"CaT2T10g02781"	184.649626145269	-3.47127036157165	0.322606689913269	-10.7600693665245	5.31301590749177e-27	1.04208676622481e-24	"Yes"	"No"	"Yes"
"CaT2T08g01462"	295.857981434621	-2.77908277427319	0.258589017042577	-10.7471028973192	6.11522437018368e-27	1.18125750750715e-24	"Yes"	"No"	"Yes"
"CaT2T07g02464"	642.490272227842	-3.3459180074451	0.312441806984841	-10.7089318159251	9.24220281428461e-27	1.75863945790022e-24	"Yes"	"No"	"Yes"
"CaT2T01g01597"	94.218466223142	3.12101460462832	0.291782586539795	10.6963703408074	1.05843380895142e-26	1.98440773975319e-24	"Yes"	"Yes"	"No"
"CaT2T01g00992"	314.544995135052	-2.92582240233175	0.273962418732594	-10.6796487484203	1.26750331328576e-26	2.34194199146089e-24	"Yes"	"No"	"Yes"
"CaT2T02g00631"	555.692491172061	-2.20463159766608	0.206601332917004	-10.670945663994	1.39202374580479e-26	2.53527296218076e-24	"Yes"	"No"	"Yes"
"CaT2T03g02330"	254.808309410119	2.0239767388768	0.189820262095802	10.6625958500432	1.52286551593077e-26	2.7345087975495e-24	"Yes"	"Yes"	"No"
"CaT2T12g00561"	637.53814851923	-2.37902536114079	0.223894540548773	-10.6256515023087	2.26425574663973e-26	4.00930507137637e-24	"Yes"	"No"	"Yes"
"CaT2T12g00493"	100.616569894185	2.82254970550937	0.266207689549967	10.6028105735074	2.8915720589848e-26	5.04995235342428e-24	"Yes"	"Yes"	"No"
"CaT2T02g03256"	1768.94648324504	-1.67532283348371	0.158764037768042	-10.5522815937158	4.95782995168801e-26	8.54153703433384e-24	"Yes"	"No"	"Yes"
"CaT2T12g01409"	1874.65144899225	-2.35116034084411	0.224390972781837	-10.4779631359325	1.09067426333635e-25	1.82960607674673e-23	"Yes"	"No"	"Yes"
"CaT2T03g02078"	193.835296102532	-2.97827660417646	0.28422161293035	-10.4787126266372	1.08206623945255e-25	1.82960607674673e-23	"Yes"	"No"	"Yes"
"CaT2T12g01754"	576.981689925748	-3.15105372953351	0.301619872791288	-10.4471025081094	1.51070205156635e-25	2.50129096823628e-23	"Yes"	"No"	"Yes"
"CaT2T03g01014"	191.944492111668	-3.84676630278287	0.368793001124139	-10.4306922611257	1.79575182758745e-25	2.93513333973235e-23	"Yes"	"No"	"Yes"
"CaT2T07g03297"	442.81980639027	2.23305856213789	0.21441131260828	10.4148355558906	2.12163926419475e-25	3.42389607331884e-23	"Yes"	"Yes"	"No"
"CaT2T10g00612"	686.914827040509	-2.20170660584088	0.21152688544567	-10.4086371867201	2.26439956260955e-25	3.60860375296364e-23	"Yes"	"No"	"Yes"
"CaT2T03g01308"	267.037880216005	2.11333732154826	0.204211119853834	10.3487867020214	4.23822618468541e-25	6.6707587195746e-23	"Yes"	"Yes"	"No"
"CaT2T01g01251"	420.850272661469	-2.320162181812	0.22462581052663	-10.3290097267649	5.20956110611495e-25	8.09959689534872e-23	"Yes"	"No"	"Yes"
"CaT2T06g03752"	470.532237436671	2.67788746068125	0.26164102105844	10.234967933729	1.38240969789087e-24	2.12341460703743e-22	"Yes"	"Yes"	"No"
"CaT2T01g03225"	115.536946613628	2.56444708830053	0.252052976745178	10.174238453423	2.58413393038634e-24	3.9220385093447e-22	"Yes"	"Yes"	"No"
"CaT2T12g01945"	282.48462078438	-2.50323249518318	0.246341148260739	-10.1616498618154	2.94057667640394e-24	4.41051906440868e-22	"Yes"	"No"	"Yes"
"CaT2T02g04171"	401.356993103491	-2.78918862307616	0.275361931419781	-10.1291729350348	4.10103451318903e-24	6.0795452335636e-22	"Yes"	"No"	"Yes"
"CaT2T02g03816"	230.515770533769	-2.80724681519572	0.27723968688761	-10.1257033100522	4.24912846386018e-24	6.22668261905212e-22	"Yes"	"No"	"Yes"
"CaT2T03g00825"	201.73863203301	1.97268184974782	0.194881970931485	10.1224440635474	4.39306289115003e-24	6.36444986355361e-22	"Yes"	"Yes"	"No"
"CaT2T07g00684"	282.639270718489	2.23506092387163	0.220850333052979	10.1202515430913	4.4925951991571e-24	6.43551642629818e-22	"Yes"	"Yes"	"No"
"CaT2T04g01311"	348.556552805429	-2.45799848295654	0.243033516201021	-10.1138251274094	4.79738119871873e-24	6.79575698916279e-22	"Yes"	"No"	"Yes"
"CaT2T10g02549"	244.054394276293	-3.00206109631913	0.297210919254251	-10.1007765927705	5.48064356065701e-24	7.67832140162816e-22	"Yes"	"No"	"Yes"
"CaT2T03g00484"	263.931061380399	-3.15096282993222	0.312751598445434	-10.0749695464209	7.12828729682647e-24	9.87810160296095e-22	"Yes"	"No"	"Yes"
"CaT2T07g00913"	362.5205002779	-2.34782032253694	0.233553436069745	-10.0526045004785	8.9470916163701e-24	1.22652119373228e-21	"Yes"	"No"	"Yes"
"CaT2T04g01110"	545.323799811615	-3.02068705931646	0.302428953611594	-9.98808818812996	1.71864378162379e-23	2.33095633743848e-21	"Yes"	"No"	"Yes"
"CaT2T02g03050"	3662.4809590684	-2.19339337639694	0.220098980592321	-9.96548630299958	2.15815079014029e-23	2.89623836036828e-21	"Yes"	"No"	"Yes"
"CaT2T03g05061"	83503.4803083263	-1.84158177151646	0.184903206997268	-9.95970703495516	2.28735747911801e-23	3.03765838554954e-21	"Yes"	"No"	"Yes"
"CaT2T02g03056"	141.71554160511	-3.49914412702101	0.351655809761462	-9.95048007139306	2.50969574992209e-23	3.29856815626357e-21	"Yes"	"No"	"Yes"
"CaT2T10g00397"	177.821972325647	-3.07798539919291	0.310118414166189	-9.92519392138853	3.23473336857414e-23	4.20812405264813e-21	"Yes"	"No"	"Yes"
"CaT2T12g00723"	547.854897344808	-2.3537422140346	0.238289940339222	-9.87763986462828	5.20442112598732e-23	6.70213787224367e-21	"Yes"	"No"	"Yes"
"CaT2T11g01733"	321.539630258856	-2.27398580202993	0.230477508548297	-9.86641089776188	5.82102493580757e-23	7.42122469066107e-21	"Yes"	"No"	"Yes"
"CaT2T02g03981"	399.164806182877	-2.60501114359809	0.264536641787361	-9.84744920778135	7.03056022391978e-23	8.87451606878745e-21	"Yes"	"No"	"Yes"
"CaT2T09g03222"	166.759274187202	-2.96669837743906	0.301433181786256	-9.84197678523238	7.42376080917109e-23	9.27897319177669e-21	"Yes"	"No"	"Yes"
"CaT2T02g00645"	58.0412754766117	3.22186732831466	0.327698470958313	9.83180458209864	8.21336222816427e-23	1.01662286453268e-20	"Yes"	"Yes"	"No"
"CaT2T06g00055"	388.806907014162	1.91757155755332	0.195120703965976	9.82761705230261	8.56207176019312e-23	1.04959473914137e-20	"Yes"	"Yes"	"No"
"CaT2T10g00115"	279.493383054571	-2.6542642633603	0.270665110508439	-9.80645144242757	1.05617515565127e-22	1.28239781518076e-20	"Yes"	"No"	"Yes"
"CaT2T11g02342"	249.911324758391	-2.57440406235946	0.263405820449146	-9.77352762353435	1.46268548448214e-22	1.7592242680814e-20	"Yes"	"No"	"Yes"
"CaT2T01g00604"	452.102292637373	-2.27724360868704	0.23308935360162	-9.7698310690721	1.5170481174783e-22	1.8075557429655e-20	"Yes"	"No"	"Yes"
"CaT2T11g00136"	418.989150608781	1.72911748973226	0.177598261009907	9.73611723391706	2.11480842095163e-22	2.49645301469559e-20	"Yes"	"Yes"	"No"
"CaT2T01g00129"	152.176124201441	2.13597524279405	0.219793464478047	9.71810170910422	2.52443702217018e-22	2.95266491703189e-20	"Yes"	"Yes"	"No"
"CaT2T07g03310"	1408.99743422615	-1.84890267372182	0.190419352838601	-9.70963636920322	2.74313982710753e-22	3.17929905961763e-20	"Yes"	"No"	"Yes"
"CaT2T02g04115"	362.664264288421	-3.00314740169825	0.310325349291108	-9.67741568182713	3.76102657716669e-22	4.319759264171e-20	"Yes"	"No"	"Yes"
"CaT2T07g01490"	402.097900639537	-1.90978421895449	0.197796035727179	-9.65532100748806	4.66695319923563e-22	5.31240949437991e-20	"Yes"	"No"	"Yes"
"CaT2T08g01549"	80.3226481853171	3.14280946635856	0.326254764092211	9.63299179738657	5.80152515504259e-22	6.545455239083e-20	"Yes"	"Yes"	"No"
"CaT2T02g02838"	317.323032214352	-2.367572721456	0.245999418338327	-9.6243021119661	6.31340241654887e-22	7.06048836917382e-20	"Yes"	"No"	"Yes"
"CaT2T04g00461"	295.190477558038	-2.13897189158318	0.222654334857595	-9.60669323124214	7.49163128103609e-22	8.30528758277645e-20	"Yes"	"No"	"Yes"
"CaT2T02g03202"	131.08089258761	3.30619301682298	0.344707679270746	9.59129493087439	8.69863270036291e-22	9.56024726697644e-20	"Yes"	"Yes"	"No"
"CaT2T01g02440"	2248.24500334574	-2.84104942905828	0.296343683256599	-9.58700856329123	9.0675875811133e-22	9.88057043347123e-20	"Yes"	"No"	"Yes"
"CaT2T10g02075"	304.724897619449	-2.69450656661085	0.281592155602815	-9.56882680500322	1.08125623641708e-21	1.16821489475266e-19	"Yes"	"No"	"Yes"
"CaT2T03g01090"	176.965241587456	-3.25956563231216	0.340849505801565	-9.56306398228961	1.14321026334628e-21	1.22477207121023e-19	"Yes"	"No"	"Yes"
"CaT2T02g02174"	61.6420995159699	3.78766008652033	0.396168499385227	9.5607300741932	1.16928906773909e-21	1.24131649335208e-19	"Yes"	"Yes"	"No"
"CaT2T03g01912"	206.591343334039	-2.5001390491471	0.261522164814369	-9.55995087805166	1.17812609377678e-21	1.24131649335208e-19	"Yes"	"No"	"Yes"
"CaT2T03g04023"	565.29532432587	-2.24526179827702	0.234895390326286	-9.55856049434686	1.19405918250215e-21	1.24779184571475e-19	"Yes"	"No"	"Yes"
"CaT2T12g03792"	67.0365097392893	2.98330794309326	0.312188656864823	9.55610614765233	1.22270675714029e-21	1.26734052412858e-19	"Yes"	"Yes"	"No"
"CaT2T10g00692"	314.917699681837	-2.60952202960226	0.274439186962813	-9.50856201871728	1.9331621211451e-21	1.98757128084507e-19	"Yes"	"No"	"Yes"
"CaT2T04g01856"	350.054528204373	2.24804976857588	0.236522572695434	9.50458868663945	2.00840129166282e-21	2.04840864539274e-19	"Yes"	"Yes"	"No"
"CaT2T11g02430"	287.651864362527	-2.21931939414033	0.234293461069639	-9.47239152133521	2.73508714053464e-21	2.7674306313235e-19	"Yes"	"No"	"Yes"
"CaT2T03g02786"	189.475213992926	2.0837193926362	0.220356329028685	9.45613589507996	3.19533534026553e-21	3.20766379945239e-19	"Yes"	"Yes"	"No"
"CaT2T04g00480"	679.16083992994	-2.52231907707321	0.267444877653714	-9.43117362800679	4.05525736533115e-21	4.03909969926615e-19	"Yes"	"No"	"Yes"
"CaT2T03g00172"	125.824515361924	2.54087567818872	0.271248233889822	9.36734459705566	7.43802193217529e-21	7.35095671420952e-19	"Yes"	"Yes"	"No"
"CaT2T07g02357"	222.574919138549	-2.90995422294116	0.31075398053773	-9.36417360738475	7.66477324741151e-21	7.51678416394226e-19	"Yes"	"No"	"Yes"
"CaT2T07g02729"	334.314675883503	-2.16243948136029	0.231018358894683	-9.36046594611167	7.93858223155915e-21	7.72587670764485e-19	"Yes"	"No"	"Yes"
"CaT2T06g01864"	202.267245697244	-2.56160010334466	0.274279273856308	-9.33938633907371	9.6894061195399e-21	9.35835141045562e-19	"Yes"	"No"	"Yes"
"CaT2T09g00604"	146.147493496652	-2.95448889330205	0.316729547131226	-9.32811264393328	1.07772837799442e-20	1.03307963090608e-18	"Yes"	"No"	"Yes"
"CaT2T08g02484"	451.82782381173	-2.34556727733532	0.251484853091219	-9.32687296472895	1.09040434256446e-20	1.03743022114585e-18	"Yes"	"No"	"Yes"
"CaT2T01g00828"	276.072046259111	2.24383907353914	0.240973854697331	9.31154575402987	1.25985281067752e-20	1.18976766543168e-18	"Yes"	"Yes"	"No"
"CaT2T02g03471"	1129.95901281298	-1.60615882579562	0.172675564904498	-9.30159879125887	1.38349439696289e-20	1.29692426962352e-18	"Yes"	"No"	"Yes"
"CaT2T07g02919"	768.58917509186	-1.59529638179016	0.171595782253325	-9.29682746767656	1.44698760359479e-20	1.34654342760803e-18	"Yes"	"No"	"Yes"
"CaT2T08g01651"	783.962923022959	-1.81678011684052	0.195469251499706	-9.29445476923643	1.47962590634955e-20	1.36693845507612e-18	"Yes"	"No"	"Yes"
"CaT2T09g00437"	438.841570541462	-2.96996925556293	0.320013876199899	-9.28075148125051	1.68287400515564e-20	1.5345620348537e-18	"Yes"	"No"	"Yes"
"CaT2T03g04980"	1343.88594254793	-1.63853929735447	0.176555166694908	-9.28060802766482	1.68514146113043e-20	1.5345620348537e-18	"Yes"	"No"	"Yes"
"CaT2T01g03250"	163.559879111466	-3.66472974345078	0.396438783270131	-9.24412519184244	2.37172812177972e-20	2.14447956202621e-18	"Yes"	"No"	"Yes"
"CaT2T06g02918"	2071.52403859802	-1.69428008523815	0.183719150485278	-9.2221201805193	2.91282734070522e-20	2.61518561736977e-18	"Yes"	"No"	"Yes"
"CaT2T01g01528"	214.024673791012	-2.8081602652205	0.304567403561327	-9.22016024165584	2.96656552635811e-20	2.64480726542234e-18	"Yes"	"No"	"Yes"
"CaT2T02g01030"	503.230762427794	-2.31195502615794	0.251291234708706	-9.20030111212568	3.56948092980788e-20	3.1602300259806e-18	"Yes"	"No"	"Yes"
"CaT2T08g01589"	209.484543720764	-2.17934262885617	0.237326814019411	-9.18287568078138	4.19729785380549e-20	3.69043795435629e-18	"Yes"	"No"	"Yes"
"CaT2T01g00312"	180.827037598062	-2.80846573727123	0.305918242875423	-9.18044543821109	4.29311836510683e-20	3.74883329018815e-18	"Yes"	"No"	"Yes"
"CaT2T02g04188"	67.8148260168949	2.78725075593982	0.303888362077502	9.17195623052183	4.64511623696396e-20	4.02861135408528e-18	"Yes"	"Yes"	"No"
"CaT2T03g00272"	433.778941732083	-1.90769973555965	0.2080248511501	-9.17053767861201	4.70665508768488e-20	4.05440173735774e-18	"Yes"	"No"	"Yes"
"CaT2T09g00363"	116.598676140428	-3.61869450459653	0.394847664518262	-9.16478639682866	4.96451954557831e-20	4.21951064577185e-18	"Yes"	"No"	"Yes"
"CaT2T11g01258"	197.190904467234	-2.6210908447332	0.285985306198124	-9.16512417920299	4.94899604980808e-20	4.21951064577185e-18	"Yes"	"No"	"Yes"
"CaT2T07g02084"	421.748168601523	-2.08078208541068	0.227277030602598	-9.155267824002	5.42231389315567e-20	4.57808475654581e-18	"Yes"	"No"	"Yes"
"CaT2T04g00545"	136.488459219535	-3.13972320668457	0.34330864430918	-9.14548252346646	5.93642476751053e-20	4.97505908318485e-18	"Yes"	"No"	"Yes"
"CaT2T08g02704"	323.025753912884	-2.21400180458425	0.24210332735369	-9.14486318211482	5.97053917740436e-20	4.97505908318485e-18	"Yes"	"No"	"Yes"
"CaT2T02g03721"	549.862972922843	2.66850384838975	0.292356820644454	9.12755803852109	7.00617511353442e-20	5.80011211184742e-18	"Yes"	"Yes"	"No"
"CaT2T02g03617"	185.064881684991	-3.85458505148456	0.422618385453519	-9.12072258131444	7.46250947481106e-20	6.13803440608814e-18	"Yes"	"No"	"Yes"
"CaT2T03g04833"	760.284976795748	-2.13809056905014	0.234461946038178	-9.1191368372503	7.57250216425734e-20	6.18857885205877e-18	"Yes"	"No"	"Yes"
"CaT2T02g02263"	484.97337656958	-1.77284156254186	0.194518528205328	-9.1139984396268	7.94004481579732e-20	6.44761983163058e-18	"Yes"	"No"	"Yes"
"CaT2T06g01466"	244.0038746066	-2.23644865865971	0.245469446477977	-9.11090439461418	8.16980523618213e-20	6.59220550354974e-18	"Yes"	"No"	"Yes"
"CaT2T01g04419"	327.327271033817	2.07962487517023	0.228781107234061	9.09002015206882	9.90207018902246e-20	7.93971653080801e-18	"Yes"	"Yes"	"No"
"CaT2T08g01805"	482.292061168589	1.71557317760251	0.189262223144786	9.06453041233745	1.25142119760884e-19	9.97148053019692e-18	"Yes"	"Yes"	"No"
"CaT2T01g00613"	213.961319559182	-2.18691911736714	0.241992678118893	-9.03712928162514	1.60840103493271e-19	1.27363383815883e-17	"Yes"	"No"	"Yes"
"CaT2T11g02403"	30.9834270138157	5.1022522689083	0.564643269105843	9.03624030972354	1.62152975722328e-19	1.27610388116294e-17	"Yes"	"Yes"	"No"
"CaT2T02g01781"	143.716851007132	-2.79940441853729	0.30988916843904	-9.03356652521393	1.66165896484102e-19	1.29966197194835e-17	"Yes"	"No"	"Yes"
"CaT2T09g00418"	367.590736900595	-1.78437394126567	0.198024803473563	-9.01086081120077	2.0444536384975e-19	1.58931338031735e-17	"Yes"	"No"	"Yes"
"CaT2T01g04605"	388.154557425479	-1.93126213523386	0.21457351974909	-9.00046817283032	2.2475716410538e-19	1.73662368798757e-17	"Yes"	"No"	"Yes"
"CaT2T09g02269"	198.120773815979	-2.7637798140359	0.307202936163191	-8.99659309430473	2.32830602832402e-19	1.78816708163271e-17	"Yes"	"No"	"Yes"
"CaT2T02g04027"	603.914388716723	-2.34781261045948	0.261389039072552	-8.98206221190404	2.65738502019951e-19	2.02868273188764e-17	"Yes"	"No"	"Yes"
"CaT2T06g00142"	407.968256929472	2.17508217507729	0.242746809189684	8.96029151665455	3.23821157176468e-19	2.44283783008449e-17	"Yes"	"Yes"	"No"
